Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026767,-0.01554,0.075,0,0,0,0.1883,0.00029329,-3.3956E-05,-2.6337E-09,0.0005445,7.9205E-10,0.0003719,0,0,0,0,0,0,package://arm2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm2/meshes/base_link.STL,,0AXIS_JOINT-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1axis_link,0.024565,-0.018868,0.044889,0,0,0,0.28445,0.00025925,-6.7497E-05,-3.128E-05,0.0003931,-1.6686E-05,0.00041221,0,0,0,0,0,0,package://arm2/meshes/1axis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm2/meshes/1axis_link.STL,,1AXIS_JOINT-1,Origin_1axis_joint,,1axis_joint,fixed,0.043828,-0.03,0.081551,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
2axis_link,-0.017555,0.030707,0.045601,0,0,0,0.07357,9.8799E-05,1.6011E-09,1.7193E-09,1.3489E-05,-9.0492E-06,9.6871E-05,0,0,0,0,0,0,package://arm2/meshes/2axis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm2/meshes/2axis_link.STL,,2AXIS_JOINT-1,Origin_2axis_joint,,2axis_joint,fixed,0.083781,0.084651,0.014,0,0,0,1axis_link,0,0,0,,,,,,,,,,,,
3axis_link,-0.00621176753239523,0.129698878739349,0.0466231996142318,0,0,0,0.0688781822887198,7.7091811995459E-05,-2.38270228869103E-09,4.57848363483557E-09,1.3674094164428E-05,-1.10112313838484E-05,7.42179805741235E-05,0,0,0,0,0,0,package://arm2/meshes/3axis_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm2/meshes/3axis_link.STL,,3AXIS_JOINT-1,Origin_3axis_joint,,3axis_joint,fixed,-0.02374,0.027796,0.048773,3.1416,0,3.1416,2axis_link,0,0,0,,,,,,,,,,,,
4axis_link,-0.0023399,-0.014993,0.010143,0,0,0,0.028748,4.9967E-06,-1.0618E-07,7.3428E-10,3.7208E-06,-1.7555E-07,6.4557E-06,0,0,0,0,0,0,package://arm2/meshes/4axis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm2/meshes/4axis_link.STL,,4AXIS_JOINT-1,Origin_4axis_joint,,4axis_joint,fixed,-0.010546,0.20879,0.027773,3.1416,0,3.1416,3axis_link,0,0,0,,,,,,,,,,,,
Gaxis_link,-0.0088619,0.0055892,0.0029626,0,0,0,0.10071,4.2658E-05,-1.1309E-06,7.6585E-07,2.6015E-05,-5.1078E-07,2.8736E-05,0,0,0,0,0,0,package://arm2/meshes/Gaxis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm2/meshes/Gaxis_link.STL,,GAXIS_JOINT-1,Origin_Gaxis_joint,,Gaxis_joint,fixed,0.019389,0.048734,0.0065261,1.5708,0,3.1416,4axis_link,0,0,0,,,,,,,,,,,,
