Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026767,-0.01554,0.075,0,0,0,0.1883,0.00029329,-3.3956E-05,-2.6337E-09,0.0005445,7.9205E-10,0.0003719,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/base_link.STL,,0AXIS_JOINT-1,Origin_gaxis_joint,Axis_gaxis_joint,gaxis_joint,continuous,0,0.015943,0,-1.5708,0.4615,0,4axis_link,0,0,1,,,,,,,,,,,,
1axis_link,0.046824,0.056719,-0.00011125,0,0,0,0.28445,0.00025925,-6.7497E-05,-3.128E-05,0.0003931,-1.6686E-05,0.00041221,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/1axis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/1axis_link.STL,,1AXIS_JOINT-1,Origin_1axis_joint,Axis_1axis_joint,1axis_joint,continuous,0.021569,-0.075,0.0059633,1.5708,0,-0.044547,base_link,0,1,0,,,,,,,,,,,,
2axis_link,-1.422E-05,0.093446,0.014601,0,0,0,0.073569,9.8797E-05,1.5389E-09,1.7293E-09,1.3489E-05,-9.0486E-06,9.6869E-05,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/2axis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/2axis_link.STL,,2AXIS_JOINT-1,Origin_2axis_joint,Axis_2axis_joint,2axis_joint,continuous,0.0885000000000002,0.0975000000000002,0,0,0,-1.53783267944349,1axis_link,0,0,1,,,,,,,,,,,,
3axis_link,-1.2327E-05,0.090233,0.02885,0,0,0,0.068878,7.7092E-05,-2.3898E-09,4.585E-09,1.3674E-05,-1.1011E-05,7.4218E-05,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/3axis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/3axis_link.STL,,3AXIS_JOINT-1,Origin_3axis_joint,Axis_3axis_joint,3axis_joint,continuous,0,0.13,0,-3.14159265358979,0,-1.97319683591892,2axis_link,0,0,1,,,,,,,,,,,,
4axis_link,0.002003,0.0344,0.00014231,0,0,0,0.028802,4.9993E-06,-1.0622E-07,7.2923E-10,3.7249E-06,-1.7557E-07,6.4583E-06,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/4axis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/4axis_link.STL,,4AXIS_JOINT-1,Origin_4axis_joint,Axis_4axis_joint,4axis_joint,continuous,0,0.120000000000001,0,-3.14159265358979,0,-2.78551620311611,3axis_link,0,0,1,,,,,,,,,,,,
gaxis_link,-0.0024553,-0.00048053,0.1057,0,0,0,0.095441,2.4484E-05,6.3221E-07,-9.197E-07,2.9284E-05,-1.2218E-06,3.871E-05,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/gaxis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://2024.11.15_URDF_ARM/meshes/gaxis_link.STL,,GAXIS_JOINT-1,Origin_gaxis_joint,Axis_gaxis_joint,gaxis_joint,continuous,0,0.015943,0,-1.5708,0.4615,0,4axis_link,0,0,1,,,,,,,,,,,,
